source,field,value
data/pilot/INTC_20260722.parquet,columns,"['timestamp', 'ts_recv', 'ts_event', 'ts_recv_minus_ts_event_ms', 'instrument', 'sequence', 'session_date', 'in_continuous_session', 'canonical_event_id', 'raw_row_id', 'src_row_first', 'src_row_last', 'n_records', 'actions', 'n_trades', 'bid_price_1', 'ask_price_1', 'bid_size_1', 'ask_size_1', 'bid_price_1_int', 'ask_price_1_int', 'bid_price_2', 'ask_price_2', 'bid_size_2', 'ask_size_2', 'bid_price_2_int', 'ask_price_2_int', 'bid_price_3', 'ask_price_3', 'bid_size_3', 'ask_size_3', 'bid_price_3_int', 'ask_price_3_int', 'bid_price_4', 'ask_price_4', 'bid_size_4', 'ask_size_4', 'bid_price_4_int', 'ask_price_4_int', 'bid_price_5', 'ask_price_5', 'bid_size_5', 'ask_size_5', 'bid_price_5_int', 'ask_price_5_int', 'bid_price_6', 'ask_price_6', 'bid_size_6', 'ask_size_6', 'bid_price_6_int', 'ask_price_6_int', 'bid_price_7', 'ask_price_7', 'bid_size_7', 'ask_size_7', 'bid_price_7_int', 'ask_price_7_int', 'bid_price_8', 'ask_price_8', 'bid_size_8', 'ask_size_8', 'bid_price_8_int', 'ask_price_8_int', 'bid_price_9', 'ask_price_9', 'bid_size_9', 'ask_size_9', 'bid_price_9_int', 'ask_price_9_int', 'bid_price_10', 'ask_price_10', 'bid_size_10', 'ask_size_10', 'bid_price_10_int', 'ask_price_10_int', 'trade_price', 'trade_size', 'signed_trade_volume', 'trade_side', 'event_type', 'book_clear', 'F_SNAPSHOT', 'F_MAYBE_BAD_BOOK', 'F_BAD_TS_RECV', 'integrity_break', 'halt_boundary']"
data/pilot/INTC_20260722.parquet,dtypes,"{'timestamp': 'datetime64[ns, UTC]', 'ts_recv': 'datetime64[ns, UTC]', 'ts_event': 'datetime64[ns, UTC]', 'ts_recv_minus_ts_event_ms': 'float64', 'instrument': 'object', 'sequence': 'uint32', 'session_date': 'object', 'in_continuous_session': 'bool', 'canonical_event_id': 'int64', 'raw_row_id': 'int64', 'src_row_first': 'int64', 'src_row_last': 'int64', 'n_records': 'int64', 'actions': 'object', 'n_trades': 'int64', 'bid_price_1': 'float64', 'ask_price_1': 'float64', 'bid_size_1': 'uint32', 'ask_size_1': 'uint32', 'bid_price_1_int': 'Int64', 'ask_price_1_int': 'Int64', 'bid_price_2': 'float64', 'ask_price_2': 'float64', 'bid_size_2': 'uint32', 'ask_size_2': 'uint32', 'bid_price_2_int': 'Int64', 'ask_price_2_int': 'Int64', 'bid_price_3': 'float64', 'ask_price_3': 'float64', 'bid_size_3': 'uint32', 'ask_size_3': 'uint32', 'bid_price_3_int': 'Int64', 'ask_price_3_int': 'Int64', 'bid_price_4': 'float64', 'ask_price_4': 'float64', 'bid_size_4': 'uint32', 'ask_size_4': 'uint32', 'bid_price_4_int': 'Int64', 'ask_price_4_int': 'Int64', 'bid_price_5': 'float64', 'ask_price_5': 'float64', 'bid_size_5': 'uint32', 'ask_size_5': 'uint32', 'bid_price_5_int': 'Int64', 'ask_price_5_int': 'Int64', 'bid_price_6': 'float64', 'ask_price_6': 'float64', 'bid_size_6': 'uint32', 'ask_size_6': 'uint32', 'bid_price_6_int': 'Int64', 'ask_price_6_int': 'Int64', 'bid_price_7': 'float64', 'ask_price_7': 'float64', 'bid_size_7': 'uint32', 'ask_size_7': 'uint32', 'bid_price_7_int': 'Int64', 'ask_price_7_int': 'Int64', 'bid_price_8': 'float64', 'ask_price_8': 'float64', 'bid_size_8': 'uint32', 'ask_size_8': 'uint32', 'bid_price_8_int': 'Int64', 'ask_price_8_int': 'Int64', 'bid_price_9': 'float64', 'ask_price_9': 'float64', 'bid_size_9': 'uint32', 'ask_size_9': 'uint32', 'bid_price_9_int': 'Int64', 'ask_price_9_int': 'Int64', 'bid_price_10': 'float64', 'ask_price_10': 'float64', 'bid_size_10': 'uint32', 'ask_size_10': 'uint32', 'bid_price_10_int': 'Int64', 'ask_price_10_int': 'Int64', 'trade_price': 'float64', 'trade_size': 'float64', 'signed_trade_volume': 'float64', 'trade_side': 'object', 'event_type': 'object', 'book_clear': 'bool', 'F_SNAPSHOT': 'bool', 'F_MAYBE_BAD_BOOK': 'bool', 'F_BAD_TS_RECV': 'bool', 'integrity_break': 'bool', 'halt_boundary': 'bool'}"
data/pilot/INTC_20260722.parquet,ts_min,2026-07-22 13:30:00.002492914+00:00
data/pilot/INTC_20260722.parquet,ts_max,2026-07-22 19:59:59.997707119+00:00
data/pilot/INTC_20260722.parquet,ts_resolution_ms,6e-06
data/pilot/INTC_20260722.parquet,missing_counts,"{'timestamp': 0, 'ts_recv': 0, 'ts_event': 0, 'ts_recv_minus_ts_event_ms': 0, 'instrument': 0, 'sequence': 0, 'session_date': 0, 'in_continuous_session': 0, 'canonical_event_id': 0, 'raw_row_id': 0, 'src_row_first': 0, 'src_row_last': 0, 'n_records': 0, 'actions': 0, 'n_trades': 0, 'bid_price_1': 0, 'ask_price_1': 0, 'bid_size_1': 0, 'ask_size_1': 0, 'bid_price_1_int': 0, 'ask_price_1_int': 0, 'bid_price_2': 0, 'ask_price_2': 0, 'bid_size_2': 0, 'ask_size_2': 0, 'bid_price_2_int': 0, 'ask_price_2_int': 0, 'bid_price_3': 0, 'ask_price_3': 0, 'bid_size_3': 0, 'ask_size_3': 0, 'bid_price_3_int': 0, 'ask_price_3_int': 0, 'bid_price_4': 0, 'ask_price_4': 0, 'bid_size_4': 0, 'ask_size_4': 0, 'bid_price_4_int': 0, 'ask_price_4_int': 0, 'bid_price_5': 0, 'ask_price_5': 0, 'bid_size_5': 0, 'ask_size_5': 0, 'bid_price_5_int': 0, 'ask_price_5_int': 0, 'bid_price_6': 0, 'ask_price_6': 0, 'bid_size_6': 0, 'ask_size_6': 0, 'bid_price_6_int': 0, 'ask_price_6_int': 0, 'bid_price_7': 0, 'ask_price_7': 0, 'bid_size_7': 0, 'ask_size_7': 0, 'bid_price_7_int': 0, 'ask_price_7_int': 0, 'bid_price_8': 0, 'ask_price_8': 0, 'bid_size_8': 0, 'ask_size_8': 0, 'bid_price_8_int': 0, 'ask_price_8_int': 0, 'bid_price_9': 0, 'ask_price_9': 0, 'bid_size_9': 0, 'ask_size_9': 0, 'bid_price_9_int': 0, 'ask_price_9_int': 0, 'bid_price_10': 0, 'ask_price_10': 0, 'bid_size_10': 0, 'ask_size_10': 0, 'bid_price_10_int': 0, 'ask_price_10_int': 0, 'trade_price': 1938527, 'trade_size': 1938527, 'signed_trade_volume': 0, 'trade_side': 0, 'event_type': 0, 'book_clear': 0, 'F_SNAPSHOT': 0, 'F_MAYBE_BAD_BOOK': 0, 'F_BAD_TS_RECV': 0, 'integrity_break': 0, 'halt_boundary': 0}"
data/pilot/INTC_20260722.parquet,n_duplicate_rows,0
data/pilot/INTC_20260722.parquet,n_duplicate_timestamps,0
data/pilot/INTC_20260722.parquet,is_sorted,True
data/pilot/INTC_20260722.parquet,n_instruments,1
data/pilot/INTC_20260722.parquet,n_days,1
data/pilot/INTC_20260722.parquet,gap_ms_describe,"{'min': 6e-06, 'median': 0.074597, 'p90': 25.98387830000005, 'p99': 214.63551010000174, 'max': 1872.853659, 'n_negative': 0}"
data/pilot/INTC_20260722.parquet,n_crossed,0
data/pilot/INTC_20260722.parquet,n_locked,0
data/pilot/INTC_20260722.parquet,n_nonpositive_sizes,0
data/pilot/INTC_20260722.parquet,has_level2,True
data/pilot/INTC_20260722.parquet,has_trades,True
data/pilot/INTC_20260722.parquet,has_trade_side,True
data/pilot/INTC_20260722.parquet,has_event_type,True
data/pilot/INTC_20260722.parquet,notes,[]
data/pilot/INTC_20260723.parquet,n_rows,3306509
data/pilot/INTC_20260723.parquet,columns,"['timestamp', 'ts_recv', 'ts_event', 'ts_recv_minus_ts_event_ms', 'instrument', 'sequence', 'session_date', 'in_continuous_session', 'canonical_event_id', 'raw_row_id', 'src_row_first', 'src_row_last', 'n_records', 'actions', 'n_trades', 'bid_price_1', 'ask_price_1', 'bid_size_1', 'ask_size_1', 'bid_price_1_int', 'ask_price_1_int', 'bid_price_2', 'ask_price_2', 'bid_size_2', 'ask_size_2', 'bid_price_2_int', 'ask_price_2_int', 'bid_price_3', 'ask_price_3', 'bid_size_3', 'ask_size_3', 'bid_price_3_int', 'ask_price_3_int', 'bid_price_4', 'ask_price_4', 'bid_size_4', 'ask_size_4', 'bid_price_4_int', 'ask_price_4_int', 'bid_price_5', 'ask_price_5', 'bid_size_5', 'ask_size_5', 'bid_price_5_int', 'ask_price_5_int', 'bid_price_6', 'ask_price_6', 'bid_size_6', 'ask_size_6', 'bid_price_6_int', 'ask_price_6_int', 'bid_price_7', 'ask_price_7', 'bid_size_7', 'ask_size_7', 'bid_price_7_int', 'ask_price_7_int', 'bid_price_8', 'ask_price_8', 'bid_size_8', 'ask_size_8', 'bid_price_8_int', 'ask_price_8_int', 'bid_price_9', 'ask_price_9', 'bid_size_9', 'ask_size_9', 'bid_price_9_int', 'ask_price_9_int', 'bid_price_10', 'ask_price_10', 'bid_size_10', 'ask_size_10', 'bid_price_10_int', 'ask_price_10_int', 'trade_price', 'trade_size', 'signed_trade_volume', 'trade_side', 'event_type', 'book_clear', 'F_SNAPSHOT', 'F_MAYBE_BAD_BOOK', 'F_BAD_TS_RECV', 'integrity_break', 'halt_boundary']"
data/pilot/INTC_20260723.parquet,dtypes,"{'timestamp': 'datetime64[ns, UTC]', 'ts_recv': 'datetime64[ns, UTC]', 'ts_event': 'datetime64[ns, UTC]', 'ts_recv_minus_ts_event_ms': 'float64', 'instrument': 'object', 'sequence': 'uint32', 'session_date': 'object', 'in_continuous_session': 'bool', 'canonical_event_id': 'int64', 'raw_row_id': 'int64', 'src_row_first': 'int64', 'src_row_last': 'int64', 'n_records': 'int64', 'actions': 'object', 'n_trades': 'int64', 'bid_price_1': 'float64', 'ask_price_1': 'float64', 'bid_size_1': 'uint32', 'ask_size_1': 'uint32', 'bid_price_1_int': 'Int64', 'ask_price_1_int': 'Int64', 'bid_price_2': 'float64', 'ask_price_2': 'float64', 'bid_size_2': 'uint32', 'ask_size_2': 'uint32', 'bid_price_2_int': 'Int64', 'ask_price_2_int': 'Int64', 'bid_price_3': 'float64', 'ask_price_3': 'float64', 'bid_size_3': 'uint32', 'ask_size_3': 'uint32', 'bid_price_3_int': 'Int64', 'ask_price_3_int': 'Int64', 'bid_price_4': 'float64', 'ask_price_4': 'float64', 'bid_size_4': 'uint32', 'ask_size_4': 'uint32', 'bid_price_4_int': 'Int64', 'ask_price_4_int': 'Int64', 'bid_price_5': 'float64', 'ask_price_5': 'float64', 'bid_size_5': 'uint32', 'ask_size_5': 'uint32', 'bid_price_5_int': 'Int64', 'ask_price_5_int': 'Int64', 'bid_price_6': 'float64', 'ask_price_6': 'float64', 'bid_size_6': 'uint32', 'ask_size_6': 'uint32', 'bid_price_6_int': 'Int64', 'ask_price_6_int': 'Int64', 'bid_price_7': 'float64', 'ask_price_7': 'float64', 'bid_size_7': 'uint32', 'ask_size_7': 'uint32', 'bid_price_7_int': 'Int64', 'ask_price_7_int': 'Int64', 'bid_price_8': 'float64', 'ask_price_8': 'float64', 'bid_size_8': 'uint32', 'ask_size_8': 'uint32', 'bid_price_8_int': 'Int64', 'ask_price_8_int': 'Int64', 'bid_price_9': 'float64', 'ask_price_9': 'float64', 'bid_size_9': 'uint32', 'ask_size_9': 'uint32', 'bid_price_9_int': 'Int64', 'ask_price_9_int': 'Int64', 'bid_price_10': 'float64', 'ask_price_10': 'float64', 'bid_size_10': 'uint32', 'ask_size_10': 'uint32', 'bid_price_10_int': 'Int64', 'ask_price_10_int': 'Int64', 'trade_price': 'float64', 'trade_size': 'float64', 'signed_trade_volume': 'float64', 'trade_side': 'object', 'event_type': 'object', 'book_clear': 'bool', 'F_SNAPSHOT': 'bool', 'F_MAYBE_BAD_BOOK': 'bool', 'F_BAD_TS_RECV': 'bool', 'integrity_break': 'bool', 'halt_boundary': 'bool'}"
data/pilot/INTC_20260723.parquet,ts_min,2026-07-23 13:30:00.016339283+00:00
data/pilot/INTC_20260723.parquet,ts_max,2026-07-23 19:59:59.999625444+00:00
data/pilot/INTC_20260723.parquet,ts_resolution_ms,7e-06
data/pilot/INTC_20260723.parquet,missing_counts,"{'timestamp': 0, 'ts_recv': 0, 'ts_event': 0, 'ts_recv_minus_ts_event_ms': 0, 'instrument': 0, 'sequence': 0, 'session_date': 0, 'in_continuous_session': 0, 'canonical_event_id': 0, 'raw_row_id': 0, 'src_row_first': 0, 'src_row_last': 0, 'n_records': 0, 'actions': 0, 'n_trades': 0, 'bid_price_1': 0, 'ask_price_1': 0, 'bid_size_1': 0, 'ask_size_1': 0, 'bid_price_1_int': 0, 'ask_price_1_int': 0, 'bid_price_2': 0, 'ask_price_2': 0, 'bid_size_2': 0, 'ask_size_2': 0, 'bid_price_2_int': 0, 'ask_price_2_int': 0, 'bid_price_3': 0, 'ask_price_3': 0, 'bid_size_3': 0, 'ask_size_3': 0, 'bid_price_3_int': 0, 'ask_price_3_int': 0, 'bid_price_4': 0, 'ask_price_4': 0, 'bid_size_4': 0, 'ask_size_4': 0, 'bid_price_4_int': 0, 'ask_price_4_int': 0, 'bid_price_5': 0, 'ask_price_5': 0, 'bid_size_5': 0, 'ask_size_5': 0, 'bid_price_5_int': 0, 'ask_price_5_int': 0, 'bid_price_6': 0, 'ask_price_6': 0, 'bid_size_6': 0, 'ask_size_6': 0, 'bid_price_6_int': 0, 'ask_price_6_int': 0, 'bid_price_7': 0, 'ask_price_7': 0, 'bid_size_7': 0, 'ask_size_7': 0, 'bid_price_7_int': 0, 'ask_price_7_int': 0, 'bid_price_8': 0, 'ask_price_8': 0, 'bid_size_8': 0, 'ask_size_8': 0, 'bid_price_8_int': 0, 'ask_price_8_int': 0, 'bid_price_9': 0, 'ask_price_9': 0, 'bid_size_9': 0, 'ask_size_9': 0, 'bid_price_9_int': 0, 'ask_price_9_int': 0, 'bid_price_10': 0, 'ask_price_10': 0, 'bid_size_10': 0, 'ask_size_10': 0, 'bid_price_10_int': 0, 'ask_price_10_int': 0, 'trade_price': 3191182, 'trade_size': 3191182, 'signed_trade_volume': 0, 'trade_side': 0, 'event_type': 0, 'book_clear': 0, 'F_SNAPSHOT': 0, 'F_MAYBE_BAD_BOOK': 0, 'F_BAD_TS_RECV': 0, 'integrity_break': 0, 'halt_boundary': 0}"
data/pilot/INTC_20260723.parquet,n_duplicate_rows,0
data/pilot/INTC_20260723.parquet,n_duplicate_timestamps,0
data/pilot/INTC_20260723.parquet,is_sorted,True
data/pilot/INTC_20260723.parquet,n_instruments,1
data/pilot/INTC_20260723.parquet,n_days,1
data/pilot/INTC_20260723.parquet,gap_ms_describe,"{'min': 7e-06, 'median': 0.060091, 'p90': 16.598473200000015, 'p99': 124.62417899000009, 'max': 1509.145803, 'n_negative': 0}"
data/pilot/INTC_20260723.parquet,n_crossed,0
data/pilot/INTC_20260723.parquet,n_locked,0
data/pilot/INTC_20260723.parquet,n_nonpositive_sizes,0
data/pilot/INTC_20260723.parquet,has_level2,True
data/pilot/INTC_20260723.parquet,has_trades,True
data/pilot/INTC_20260723.parquet,has_trade_side,True
data/pilot/INTC_20260723.parquet,has_event_type,True
data/pilot/INTC_20260723.parquet,notes,[]
data/pilot/INTC_20260724.parquet,n_rows,4390458
data/pilot/INTC_20260724.parquet,columns,"['timestamp', 'ts_recv', 'ts_event', 'ts_recv_minus_ts_event_ms', 'instrument', 'sequence', 'session_date', 'in_continuous_session', 'canonical_event_id', 'raw_row_id', 'src_row_first', 'src_row_last', 'n_records', 'actions', 'n_trades', 'bid_price_1', 'ask_price_1', 'bid_size_1', 'ask_size_1', 'bid_price_1_int', 'ask_price_1_int', 'bid_price_2', 'ask_price_2', 'bid_size_2', 'ask_size_2', 'bid_price_2_int', 'ask_price_2_int', 'bid_price_3', 'ask_price_3', 'bid_size_3', 'ask_size_3', 'bid_price_3_int', 'ask_price_3_int', 'bid_price_4', 'ask_price_4', 'bid_size_4', 'ask_size_4', 'bid_price_4_int', 'ask_price_4_int', 'bid_price_5', 'ask_price_5', 'bid_size_5', 'ask_size_5', 'bid_price_5_int', 'ask_price_5_int', 'bid_price_6', 'ask_price_6', 'bid_size_6', 'ask_size_6', 'bid_price_6_int', 'ask_price_6_int', 'bid_price_7', 'ask_price_7', 'bid_size_7', 'ask_size_7', 'bid_price_7_int', 'ask_price_7_int', 'bid_price_8', 'ask_price_8', 'bid_size_8', 'ask_size_8', 'bid_price_8_int', 'ask_price_8_int', 'bid_price_9', 'ask_price_9', 'bid_size_9', 'ask_size_9', 'bid_price_9_int', 'ask_price_9_int', 'bid_price_10', 'ask_price_10', 'bid_size_10', 'ask_size_10', 'bid_price_10_int', 'ask_price_10_int', 'trade_price', 'trade_size', 'signed_trade_volume', 'trade_side', 'event_type', 'book_clear', 'F_SNAPSHOT', 'F_MAYBE_BAD_BOOK', 'F_BAD_TS_RECV', 'integrity_break', 'halt_boundary']"
data/pilot/INTC_20260724.parquet,dtypes,"{'timestamp': 'datetime64[ns, UTC]', 'ts_recv': 'datetime64[ns, UTC]', 'ts_event': 'datetime64[ns, UTC]', 'ts_recv_minus_ts_event_ms': 'float64', 'instrument': 'object', 'sequence': 'uint32', 'session_date': 'object', 'in_continuous_session': 'bool', 'canonical_event_id': 'int64', 'raw_row_id': 'int64', 'src_row_first': 'int64', 'src_row_last': 'int64', 'n_records': 'int64', 'actions': 'object', 'n_trades': 'int64', 'bid_price_1': 'float64', 'ask_price_1': 'float64', 'bid_size_1': 'uint32', 'ask_size_1': 'uint32', 'bid_price_1_int': 'Int64', 'ask_price_1_int': 'Int64', 'bid_price_2': 'float64', 'ask_price_2': 'float64', 'bid_size_2': 'uint32', 'ask_size_2': 'uint32', 'bid_price_2_int': 'Int64', 'ask_price_2_int': 'Int64', 'bid_price_3': 'float64', 'ask_price_3': 'float64', 'bid_size_3': 'uint32', 'ask_size_3': 'uint32', 'bid_price_3_int': 'Int64', 'ask_price_3_int': 'Int64', 'bid_price_4': 'float64', 'ask_price_4': 'float64', 'bid_size_4': 'uint32', 'ask_size_4': 'uint32', 'bid_price_4_int': 'Int64', 'ask_price_4_int': 'Int64', 'bid_price_5': 'float64', 'ask_price_5': 'float64', 'bid_size_5': 'uint32', 'ask_size_5': 'uint32', 'bid_price_5_int': 'Int64', 'ask_price_5_int': 'Int64', 'bid_price_6': 'float64', 'ask_price_6': 'float64', 'bid_size_6': 'uint32', 'ask_size_6': 'uint32', 'bid_price_6_int': 'Int64', 'ask_price_6_int': 'Int64', 'bid_price_7': 'float64', 'ask_price_7': 'float64', 'bid_size_7': 'uint32', 'ask_size_7': 'uint32', 'bid_price_7_int': 'Int64', 'ask_price_7_int': 'Int64', 'bid_price_8': 'float64', 'ask_price_8': 'float64', 'bid_size_8': 'uint32', 'ask_size_8': 'uint32', 'bid_price_8_int': 'Int64', 'ask_price_8_int': 'Int64', 'bid_price_9': 'float64', 'ask_price_9': 'float64', 'bid_size_9': 'uint32', 'ask_size_9': 'uint32', 'bid_price_9_int': 'Int64', 'ask_price_9_int': 'Int64', 'bid_price_10': 'float64', 'ask_price_10': 'float64', 'bid_size_10': 'uint32', 'ask_size_10': 'uint32', 'bid_price_10_int': 'Int64', 'ask_price_10_int': 'Int64', 'trade_price': 'float64', 'trade_size': 'float64', 'signed_trade_volume': 'float64', 'trade_side': 'object', 'event_type': 'object', 'book_clear': 'bool', 'F_SNAPSHOT': 'bool', 'F_MAYBE_BAD_BOOK': 'bool', 'F_BAD_TS_RECV': 'bool', 'integrity_break': 'bool', 'halt_boundary': 'bool'}"
data/pilot/INTC_20260724.parquet,ts_min,2026-07-24 13:30:00.002588146+00:00
data/pilot/INTC_20260724.parquet,ts_max,2026-07-24 19:59:59.997603032+00:00
data/pilot/INTC_20260724.parquet,ts_resolution_ms,1.2e-05
data/pilot/INTC_20260724.parquet,missing_counts,"{'timestamp': 0, 'ts_recv': 0, 'ts_event': 0, 'ts_recv_minus_ts_event_ms': 0, 'instrument': 0, 'sequence': 0, 'session_date': 0, 'in_continuous_session': 0, 'canonical_event_id': 0, 'raw_row_id': 0, 'src_row_first': 0, 'src_row_last': 0, 'n_records': 0, 'actions': 0, 'n_trades': 0, 'bid_price_1': 0, 'ask_price_1': 0, 'bid_size_1': 0, 'ask_size_1': 0, 'bid_price_1_int': 0, 'ask_price_1_int': 0, 'bid_price_2': 0, 'ask_price_2': 0, 'bid_size_2': 0, 'ask_size_2': 0, 'bid_price_2_int': 0, 'ask_price_2_int': 0, 'bid_price_3': 0, 'ask_price_3': 0, 'bid_size_3': 0, 'ask_size_3': 0, 'bid_price_3_int': 0, 'ask_price_3_int': 0, 'bid_price_4': 0, 'ask_price_4': 0, 'bid_size_4': 0, 'ask_size_4': 0, 'bid_price_4_int': 0, 'ask_price_4_int': 0, 'bid_price_5': 0, 'ask_price_5': 0, 'bid_size_5': 0, 'ask_size_5': 0, 'bid_price_5_int': 0, 'ask_price_5_int': 0, 'bid_price_6': 0, 'ask_price_6': 0, 'bid_size_6': 0, 'ask_size_6': 0, 'bid_price_6_int': 0, 'ask_price_6_int': 0, 'bid_price_7': 0, 'ask_price_7': 0, 'bid_size_7': 0, 'ask_size_7': 0, 'bid_price_7_int': 0, 'ask_price_7_int': 0, 'bid_price_8': 0, 'ask_price_8': 0, 'bid_size_8': 0, 'ask_size_8': 0, 'bid_price_8_int': 0, 'ask_price_8_int': 0, 'bid_price_9': 0, 'ask_price_9': 0, 'bid_size_9': 0, 'ask_size_9': 0, 'bid_price_9_int': 0, 'ask_price_9_int': 0, 'bid_price_10': 0, 'ask_price_10': 0, 'bid_size_10': 0, 'ask_size_10': 0, 'bid_price_10_int': 0, 'ask_price_10_int': 0, 'trade_price': 4197066, 'trade_size': 4197066, 'signed_trade_volume': 0, 'trade_side': 0, 'event_type': 0, 'book_clear': 0, 'F_SNAPSHOT': 0, 'F_MAYBE_BAD_BOOK': 0, 'F_BAD_TS_RECV': 0, 'integrity_break': 0, 'halt_boundary': 0}"
data/pilot/INTC_20260724.parquet,n_duplicate_rows,0
data/pilot/INTC_20260724.parquet,n_duplicate_timestamps,0
data/pilot/INTC_20260724.parquet,is_sorted,True
data/pilot/INTC_20260724.parquet,n_instruments,1
data/pilot/INTC_20260724.parquet,n_days,1
data/pilot/INTC_20260724.parquet,gap_ms_describe,"{'min': 1.2e-05, 'median': 0.030194, 'p90': 10.667344799999997, 'p99': 102.68815336000009, 'max': 1321.708893, 'n_negative': 0}"
data/pilot/INTC_20260724.parquet,n_crossed,0
data/pilot/INTC_20260724.parquet,n_locked,0
data/pilot/INTC_20260724.parquet,n_nonpositive_sizes,0
data/pilot/INTC_20260724.parquet,has_level2,True
data/pilot/INTC_20260724.parquet,has_trades,True
data/pilot/INTC_20260724.parquet,has_trade_side,True
data/pilot/INTC_20260724.parquet,has_event_type,True
data/pilot/INTC_20260724.parquet,notes,[]
data/pilot/INTC_20260727.parquet,n_rows,3887246
data/pilot/INTC_20260727.parquet,columns,"['timestamp', 'ts_recv', 'ts_event', 'ts_recv_minus_ts_event_ms', 'instrument', 'sequence', 'session_date', 'in_continuous_session', 'canonical_event_id', 'raw_row_id', 'src_row_first', 'src_row_last', 'n_records', 'actions', 'n_trades', 'bid_price_1', 'ask_price_1', 'bid_size_1', 'ask_size_1', 'bid_price_1_int', 'ask_price_1_int', 'bid_price_2', 'ask_price_2', 'bid_size_2', 'ask_size_2', 'bid_price_2_int', 'ask_price_2_int', 'bid_price_3', 'ask_price_3', 'bid_size_3', 'ask_size_3', 'bid_price_3_int', 'ask_price_3_int', 'bid_price_4', 'ask_price_4', 'bid_size_4', 'ask_size_4', 'bid_price_4_int', 'ask_price_4_int', 'bid_price_5', 'ask_price_5', 'bid_size_5', 'ask_size_5', 'bid_price_5_int', 'ask_price_5_int', 'bid_price_6', 'ask_price_6', 'bid_size_6', 'ask_size_6', 'bid_price_6_int', 'ask_price_6_int', 'bid_price_7', 'ask_price_7', 'bid_size_7', 'ask_size_7', 'bid_price_7_int', 'ask_price_7_int', 'bid_price_8', 'ask_price_8', 'bid_size_8', 'ask_size_8', 'bid_price_8_int', 'ask_price_8_int', 'bid_price_9', 'ask_price_9', 'bid_size_9', 'ask_size_9', 'bid_price_9_int', 'ask_price_9_int', 'bid_price_10', 'ask_price_10', 'bid_size_10', 'ask_size_10', 'bid_price_10_int', 'ask_price_10_int', 'trade_price', 'trade_size', 'signed_trade_volume', 'trade_side', 'event_type', 'book_clear', 'F_SNAPSHOT', 'F_MAYBE_BAD_BOOK', 'F_BAD_TS_RECV', 'integrity_break', 'halt_boundary']"
data/pilot/INTC_20260727.parquet,dtypes,"{'timestamp': 'datetime64[ns, UTC]', 'ts_recv': 'datetime64[ns, UTC]', 'ts_event': 'datetime64[ns, UTC]', 'ts_recv_minus_ts_event_ms': 'float64', 'instrument': 'object', 'sequence': 'uint32', 'session_date': 'object', 'in_continuous_session': 'bool', 'canonical_event_id': 'int64', 'raw_row_id': 'int64', 'src_row_first': 'int64', 'src_row_last': 'int64', 'n_records': 'int64', 'actions': 'object', 'n_trades': 'int64', 'bid_price_1': 'float64', 'ask_price_1': 'float64', 'bid_size_1': 'uint32', 'ask_size_1': 'uint32', 'bid_price_1_int': 'Int64', 'ask_price_1_int': 'Int64', 'bid_price_2': 'float64', 'ask_price_2': 'float64', 'bid_size_2': 'uint32', 'ask_size_2': 'uint32', 'bid_price_2_int': 'Int64', 'ask_price_2_int': 'Int64', 'bid_price_3': 'float64', 'ask_price_3': 'float64', 'bid_size_3': 'uint32', 'ask_size_3': 'uint32', 'bid_price_3_int': 'Int64', 'ask_price_3_int': 'Int64', 'bid_price_4': 'float64', 'ask_price_4': 'float64', 'bid_size_4': 'uint32', 'ask_size_4': 'uint32', 'bid_price_4_int': 'Int64', 'ask_price_4_int': 'Int64', 'bid_price_5': 'float64', 'ask_price_5': 'float64', 'bid_size_5': 'uint32', 'ask_size_5': 'uint32', 'bid_price_5_int': 'Int64', 'ask_price_5_int': 'Int64', 'bid_price_6': 'float64', 'ask_price_6': 'float64', 'bid_size_6': 'uint32', 'ask_size_6': 'uint32', 'bid_price_6_int': 'Int64', 'ask_price_6_int': 'Int64', 'bid_price_7': 'float64', 'ask_price_7': 'float64', 'bid_size_7': 'uint32', 'ask_size_7': 'uint32', 'bid_price_7_int': 'Int64', 'ask_price_7_int': 'Int64', 'bid_price_8': 'float64', 'ask_price_8': 'float64', 'bid_size_8': 'uint32', 'ask_size_8': 'uint32', 'bid_price_8_int': 'Int64', 'ask_price_8_int': 'Int64', 'bid_price_9': 'float64', 'ask_price_9': 'float64', 'bid_size_9': 'uint32', 'ask_size_9': 'uint32', 'bid_price_9_int': 'Int64', 'ask_price_9_int': 'Int64', 'bid_price_10': 'float64', 'ask_price_10': 'float64', 'bid_size_10': 'uint32', 'ask_size_10': 'uint32', 'bid_price_10_int': 'Int64', 'ask_price_10_int': 'Int64', 'trade_price': 'float64', 'trade_size': 'float64', 'signed_trade_volume': 'float64', 'trade_side': 'object', 'event_type': 'object', 'book_clear': 'bool', 'F_SNAPSHOT': 'bool', 'F_MAYBE_BAD_BOOK': 'bool', 'F_BAD_TS_RECV': 'bool', 'integrity_break': 'bool', 'halt_boundary': 'bool'}"
data/pilot/INTC_20260727.parquet,ts_min,2026-07-27 13:30:00.004522065+00:00
data/pilot/INTC_20260727.parquet,ts_max,2026-07-27 19:59:59.987868901+00:00
data/pilot/INTC_20260727.parquet,ts_resolution_ms,9e-06
